2010	H	MEXICANA	MÉXICO	CHIAPAS	8/31/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/3/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/4/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/16/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/18/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/28/1986	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/6/1986	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/23/1986	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/27/1986	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/29/1986	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/1/1986	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/6/1986	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/18/1986	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/3/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/3/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/12/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/28/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/13/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/14/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/15/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/17/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/3/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/24/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/10/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/10/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/31/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/2/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/4/1987	23	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/16/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/22/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/27/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/2/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/8/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/1/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/11/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/22/1987	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/27/1987	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/7/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/11/1987	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/13/1987	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/26/1987	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/29/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/29/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/4/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/13/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/14/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/16/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/28/1987	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/1/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/6/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/8/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/24/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/30/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/5/1988	22	EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/8/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/15/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/18/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/23/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/24/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/25/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/26/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/4/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/12/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/29/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/5/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/27/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/13/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/20/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/13/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/13/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/1/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/8/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/21/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/2/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/22/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/3/1988	22	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/4/1988	22	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/6/1988	22	BECADO EXTERNO
